10728412,0,900,0,1
10728515,0,900,190,2
10728382,0,900,360,3
10728506,0,460,0,1
10728402,0,460,190,2
10728400,0,460,360,3
10728435,191.1,460,0,1
10728517,191.1,460,190,2
10728383,191.1,460,360,3
10728534,461.1,460,150,1
10728432,461.1,460,360,2
10728401,461.1,460,550,3
10728391,737.1,460,0,1
10728437,737.1,460,190,2
10728525,737.1,460,360,3
10728399,920,0,0,1
10728518,920,0,180,2
10728442,920,0,360,3
10728527,1010,460,0,1
10728390,1010,460,180,2
10728405,1010,460,290,3
10728419,1100,290,0,1
10728425,1100,290,180,2
10728439,1100,290,320,3
10728404,1450,460,0,1
10728408,1450,460,180,2
10728522,1450,460,360,3
10728396,1450,460,465,4
10728422,1800,740,0,1
10728507,1800,740,180,2
10728513,1800,740,320,3
10728387,1800,300,0,1
10728385,1800,300,180,2
10728519,1800,300,320,3
